,Restaurante,Dirección,Direccion_Web,Vader,Estrellas,Tipo_de_comida
25,Anauco Barcelona,"Calle Valencia 428, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d3708859-Reviews-Anauco_Barcelona-Barcelona_Catalonia.html,0.9402,5.0,Mexican
26,Anita Flow,"Consell de Cent, 413, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d17519526-Reviews-Anita_Flow-Barcelona_Catalonia.html,0.93,5.0,Tapas
27,Anita Gelato Barcelona,"Plaça de la Vila de Gràcia, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d23404316-Reviews-Anita_Gelato_Barcelona-Barcelona_Catalonia.html,0.802,5.0,Italian
28,Antigua,"Marià cubí, 59, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1074449-Reviews-Antigua-Barcelona_Catalonia.html,0.924,5.0,Seafood
29,Arabia Café-Restaurant,"Escudellers 25, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1869917-Reviews-Arabia_Cafe_Restaurant-Barcelona_Catalonia.html,0.9428,5.0,Meats
30,Arc Iris Restaurant Vegetarià,"Roger de Flor, 216, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d997297-Reviews-Arc_Iris_Restaurant_Vegetaria-Barcelona_Catalonia.html,0.9186,5.0,Seafood
31,Arcano,"Carrer dels Mercaders, 10, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d986234-Reviews-Arcano_Barcelona-Barcelona_Catalonia.html,0.836,5.0,Tapas
32,Arenal Restaurant,"Passeig Maritim La Barceloneta, s/n, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1319253-Reviews-Arenal_Restaurant-Barcelona_Catalonia.html,0.8834,5.0,Tapas
33,Arepamundi,"Carrer de la Marina 212, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d6656952-Reviews-Arepamundi-Barcelona_Catalonia.html,0.8885,5.0,Meats
34,Argentinísimo,"C/ Casanova 70, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d5859949-Reviews-Argentinisimo-Barcelona_Catalonia.html,0.8779,5.0,Meats
35,Arrosseria Xàtiva Gràcia,"Calle Torrent d'en Vidalet, 26, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1192636-Reviews-Arrosseria_Xativa_Gracia-Barcelona_Catalonia.html,0.9152,5.0,Meats
36,Asador de Aranda Londres,"Calle Londres, 94, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d3499314-Reviews-Asador_De_Aranda-Barcelona_Catalonia.html,0.836,5.0,Meats
37,Asador de Aranda Pau Claris,"Calle Pau Claris 70, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2212295-Reviews-Asador_de_Aranda-Barcelona_Catalonia.html,0.8591,5.0,Tapas
38,Asador de Aranda Tibidabo,"Av. del Tibidabo 31, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d969312-Reviews-Asador_de_Aranda-Barcelona_Catalonia.html,0.886,5.0,Meats
39,Ascent Restaurant,"Carrer dels Arcs 10, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1675109-Reviews-Ascent_Restaurant-Barcelona_Catalonia.html,0.8655,5.0,Tapas
40,Assunta Barcelona,"Carrer de Provença, 300, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d9809738-Reviews-Assunta_Barcelona-Barcelona_Catalonia.html,0.8807,5.0,Seafood
41,Avinyo 10,"Carrer Avinyo 10, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d8558090-Reviews-Avinyo10-Barcelona_Catalonia.html,0.8689,5.0,Tapas
42,B Burger,"Carrer D' Arago 36, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2470800-Reviews-B_Burger-Barcelona_Catalonia.html,0.8323,5.0,Tapas
43,B-ONE Palau de Mar,"Plaza Pau Vila 1, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d17756026-Reviews-B_ONE_Palau_de_Mar-Barcelona_Catalonia.html,0.8834,5.0,Tapas
44,BEMBI,"Consell De Cent 377, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d797018-Reviews-BEMBI-Barcelona_Catalonia.html,0.9148,5.0,Meats
45,BLAI TONIGHT,"C/ BLAI 23-25, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2569361-Reviews-Taberna_Blai_Tonight-Barcelona_Catalonia.html,0.9184,5.0,Tapas
46,BRO,"Baluard 34, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d6541773-Reviews-Bro-Barcelona_Catalonia.html,0.8834,5.0,Vegetarian
47,BRO Room,"Corsega 562, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d10079494-Reviews-BRO_Room-Barcelona_Catalonia.html,0.8316,5.0,Italian
48,Babula Bar 1937,"Calle Pau Claris 139, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d15759527-Reviews-Babula_Bar_1937-Barcelona_Catalonia.html,0.8689,5.0,Tapas
49,Bacoa,"Marques de L'Argentera, 1 Bis, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2490389-Reviews-Bacoa_Kiosko-Barcelona_Catalonia.html,0.9337,5.0,Meats
50,Bacoa Burger Ferran,"Carrer de Ferran, 10, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d8153432-Reviews-Bacoa_Burger-Barcelona_Catalonia.html,0.9186,5.0,Seafood
51,Balthazar,"Rossello, 189, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d782427-Reviews-Balthazar-Barcelona_Catalonia.html,0.8834,5.0,Tapas
52,Baluard Barceloneta,"Baluard 38, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2516874-Reviews-Baluard_Barceloneta-Barcelona_Catalonia.html,0.9552,5.0,Seafood
53,Bambarol,"Carrer Santalo 21, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d4451173-Reviews-Bambarol-Barcelona_Catalonia.html,0.8777,5.0,Tapas
54,Bangkok Cafe,"Evarist Arnus 65, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1072802-Reviews-Bangkok_Cafe-Barcelona_Catalonia.html,0.9042,5.0,Seafood
55,Bar Azul Barcelona,"Carrer de Corsega, 691, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d4752361-Reviews-Bar_Azul_Barcelona-Barcelona_Catalonia.html,0.8271,5.0,Tapas
56,Bar Bacaro,"Calle Jerusalem 6 Loc 1, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2296422-Reviews-Bar_Bacaro-Barcelona_Catalonia.html,0.872,5.0,Meats
57,Bar Calders,"Calle Parlament 25, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2547242-Reviews-Bar_Calders-Barcelona_Catalonia.html,0.8805,5.0,Tapas
58,Bar Cañete,"Carrer de la Unió, 17, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1905775-Reviews-Bar_Canete-Barcelona_Catalonia.html,0.9382,5.0,Tapas
59,Bar Celta Pulperia,"Carrer Simo Oller, 3, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d7708330-Reviews-Bar_Celta_Pulperia-Barcelona_Catalonia.html,0.875,5.0,Tapas
60,Bar Centro Burgers & Craft Beer,"Calle Casp, 55, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d6778563-Reviews-Bar_Centro_Burgers_Craft_Beer-Barcelona_Catalonia.html,0.8934,5.0,Meats
61,Bar La Plata,"Mercè 28, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1191525-Reviews-Bar_La_Plata-Barcelona_Catalonia.html,0.8442,5.0,Tapas
62,Bar Lobo,"Pintor Fortuny 3, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d907765-Reviews-Bar_Lobo-Barcelona_Catalonia.html,0.886,5.0,Tapas
63,Bar Mut,"pau Claris 192, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d878372-Reviews-Bar_Mut-Barcelona_Catalonia.html,0.8316,5.0,Tapas
64,Bar Pinotxo,"Carrer del Compte d'Urgell, 1, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1074885-Reviews-Bar_Pinotxo-Barcelona_Catalonia.html,0.9169,5.0,Tapas
65,Bar Restaurante Guixot,"Riereta, 8, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d814637-Reviews-Bar_Restaurante_Guixot-Barcelona_Catalonia.html,0.9201,5.0,Tapas
66,Bar Rodrigo,"Argenteria 67, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d717395-Reviews-Bar_Rodrigo-Barcelona_Catalonia.html,0.9062,5.0,Tapas
67,Bar Tomas,"Major de Sarrià 49, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d945538-Reviews-Bar_Tomas-Barcelona_Catalonia.html,0.8555,5.0,Tapas
68,Bar Xapako,"Consell de Cent 411, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d7277786-Reviews-Bar_Xapako-Barcelona_Catalonia.html,0.8402,5.0,Tapas
69,Bar del Pla,"Carrer Montcada, num. 2, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1911643-Reviews-Bar_del_Pla-Barcelona_Catalonia.html,0.8519,5.0,Tapas
70,BarcelonaNubar,"Carrer Doctor Fleming, 12-14, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2216281-Reviews-Nubar-Barcelona_Catalonia.html,0.8555,5.0,Bar
71,Bardeni,"C/Valencia 454, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d6206406-Reviews-Bardeni-Barcelona_Catalonia.html,0.8885,5.0,Seafood
72,Batea Barcelona Restaurant,"605 Gran Via De Les Corts Catalanes, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d24110149-Reviews-Batea_Barcelona_Restaurant-Barcelona_Catalonia.html,0.8824,5.0,Tapas
73,Bella Italia,"Carrer de Roger de Lluria, 87, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d4022240-Reviews-Bella_Italia-Barcelona_Catalonia.html,0.9118,5.0,Italian
74,Bellillo,"Carrer d’Enric Granados 15, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d11843595-Reviews-Bellillo-Barcelona_Catalonia.html,0.8271,5.0,Tapas
75,Bestial,"Ramón Trias Fargas 2-4, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d697423-Reviews-Bestial-Barcelona_Catalonia.html,0.9131,5.0,Tapas
76,Betlem Miscelánea Gastronómica,"Girona 70, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2492461-Reviews-Betlem_Miscel_lania_Gastronomica-Barcelona_Catalonia.html,0.8225,5.0,Tapas
77,BierCaB,"Carrer De Muntaner 55, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d4957974-Reviews-BierCaB-Barcelona_Catalonia.html,0.9477,5.0,Tapas
78,Big Al's American Kitchen,"Corsega 178, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d8651926-Reviews-Big_Al_s_American_Kitchen-Barcelona_Catalonia.html,0.8625,5.0,Meats
79,Bilbao Berria La Barra,"Placa Nova, 3, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d997713-Reviews-Bilbao_Berria_La_Barra-Barcelona_Catalonia.html,0.8885,5.0,Tapas
80,Bilbao Restaurante,"Carrer Perill 33, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1061289-Reviews-Bilbao_Restaurante-Barcelona_Catalonia.html,0.802,5.0,Tapas
81,Billy Brunch,"Carrer de Bailèn 115, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d14079258-Reviews-Billy_Brunch-Barcelona_Catalonia.html,0.9801,5.0,Bar
82,Bistro Helena,"Via Laietana, 30, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d6730988-Reviews-Bistro_Helena-Barcelona_Catalonia.html,0.9399,5.0,Tapas
83,Blau BCN,"Calle Londres, 89, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2012863-Reviews-Blau_BCN-Barcelona_Catalonia.html,0.8834,5.0,Tapas
84,Blavis,"Carrer Saragossa, 85, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d3353672-Reviews-Blavis-Barcelona_Catalonia.html,0.9337,5.0,Tapas
85,Blu Bar,"Rambla de Poblenou, 11, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d13423033-Reviews-Blu_Bar-Barcelona_Catalonia.html,0.9393,5.0,Tapas
86,Blue Spot Barcelona,"Passeig Joan de Borbó, 101, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d14173093-Reviews-Blue_Spot_Barcelona-Barcelona_Catalonia.html,0.9041,5.0,Tapas
87,Bo Kaap,"Playa Bogatell  Av. Litoral, s/n, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d13958571-Reviews-Bo_Kaap-Barcelona_Catalonia.html,0.8591,5.0,Tapas
88,Bo&mie Barcelona,"Calle Provenza, 433, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d23832828-Reviews-BO_MIE_Barcelona-Barcelona_Catalonia.html,0.8934,5.0,Asian
89,Boa-Bao Barcelona,"Plaça del Dr. Letamendi, 1, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d17655378-Reviews-Boa_Bao_Barcelona-Barcelona_Catalonia.html,0.9195,5.0,Meats
90,Boca Chica,"Passatge de la Concepcio No 14, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d3320911-Reviews-Boca_Chica-Barcelona_Catalonia.html,0.9764,5.0,Bar
91,Boca Grande,"Passatge de la Concepcio 12, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2323566-Reviews-Boca_Grande-Barcelona_Catalonia.html,0.8107,5.0,Tapas
92,Bodega Biarritz 1881,"Carrer Vidre, 8, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d3832462-Reviews-Bodega_Biarritz_1881-Barcelona_Catalonia.html,0.9001,5.0,Tapas
93,Bodega Biarritz 1881 Tapas bar,"Carrer Nou de Sant Francesc, 7, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d11906544-Reviews-Bodega_Biarritz_1881_Tapas_bar-Barcelona_Catalonia.html,0.9349,5.0,Tapas
94,Bodega Joan,"Carrer  Rosellon 164, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2710665-Reviews-Bodega_Joan-Barcelona_Catalonia.html,0.8271,5.0,Tapas
95,Bodega La Puntual,"Carrer Montcada, 22, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d7363815-Reviews-Bodega_la_Puntual-Barcelona_Catalonia.html,0.8176,5.0,Tapas
96,Bodega Vasconia,"Gignas 13, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2145823-Reviews-Bodega_Vasconia-Barcelona_Catalonia.html,0.92,5.0,Tapas
97,Bordeaux - Cuina Oberta,"Carrer Del Taquigraf Garriga, 34, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d12452232-Reviews-Bordeaux_Cuina_Oberta-Barcelona_Catalonia.html,0.926,5.0,Meats
98,Bormuth,"Carrer Rec 31, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d4222516-Reviews-Bormuth-Barcelona_Catalonia.html,0.872,5.0,Tapas
99,Botafumeiro,"Carrer Gran de Gràcia, 81, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d697432-Reviews-Botafumeiro-Barcelona_Catalonia.html,0.926,5.0,Tapas
100,Braseria El Glop,"Casp, 21, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d945602-Reviews-Braseria_El_Glop-Barcelona_Catalonia.html,0.9081,5.0,Seafood
101,Braseria La Selva Corcega Barcelona,"Carrer Corsega 235, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d23765322-Reviews-Braseria_La_Selva_Corcega_Barcelona-Barcelona_Catalonia.html,0.9623,5.0,Tapas
102,Bravo,"Placa de la Rosa del Vents, 1, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1858970-Reviews-Bravo-Barcelona_Catalonia.html,0.8402,5.0,Tapas
103,BrewDog Barcelona,"Calle Casanova, 69, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d7610881-Reviews-BrewDog_Barcelona-Barcelona_Catalonia.html,0.968,5.0,Seafood
104,Bronzo Eixample,"Carrer de Còrsega, 307, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d12523663-Reviews-Bronzo_Eixample-Barcelona_Catalonia.html,0.9638,5.0,Tapas
105,Brunch & Cake,"Enric Granados, 19, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d3163747-Reviews-Brunch_Cake-Barcelona_Catalonia.html,0.9531,5.0,Meats
106,Bubo Born,"Caputxes, 10, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1101365-Reviews-Bubo_Born-Barcelona_Catalonia.html,0.9165,5.0,Tapas
107,Buenos Aires Grill Restaurant,"Carrer de València, 189, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d6413496-Reviews-Buenos_Aires_Grill_Restaurant-Barcelona_Catalonia.html,0.9643,5.0,Tapas
108,Bun Bo Raval,"Calle Sagristans, 3, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d3643048-Reviews-Bun_Bo_Raval-Barcelona_Catalonia.html,0.9246,5.0,Asian
109,Bun Bo Vietnam,"Calle Sagristans, 3, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1752833-Reviews-Bun_Bo_Vietnam-Barcelona_Catalonia.html,0.8519,5.0,Tapas
110,Buon Appetito,"Av. Marques de la argentera, 19, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1226740-Reviews-Buon_Appetito-Barcelona_Catalonia.html,0.9371,5.0,Meats
111,Ca l'isidre,"Carrer De les Flors 12, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d697436-Reviews-Ca_l_isidre-Barcelona_Catalonia.html,0.7893,4.5,Bar
112,Cachaca Restaurante,"calle Ataulf, 5, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d9756269-Reviews-Cachaca_Restaurante-Barcelona_Catalonia.html,0.8126,5.0,Meats
113,Cachitos Diagonal,"Avinguda Diagonal 508, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d7359662-Reviews-Cachitos_Diagonal-Barcelona_Catalonia.html,0.9153,5.0,Tapas
114,Cachitos Rambla,"Rambla Catalunya, 33, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d2328951-Reviews-Cachitos_Rambla-Barcelona_Catalonia.html,0.8402,5.0,Tapas
115,Caelis,"Via Laietana, 49, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d697438-Reviews-Caelis-Barcelona_Catalonia.html,0.891,5.0,Seafood
116,Caelum,"Carrer de la Palla 8, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d967834-Reviews-Caelum-Barcelona_Catalonia.html,0.8979,5.0,Seafood
117,Cafe Zurich,"Plaça Catalunya 1, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d697456-Reviews-Cafe_Zurich-Barcelona_Catalonia.html,0.7783,4.5,Italian
118,Cafè de la Pedrera,"Passeig de Gracia, 92, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d3453947-Reviews-Cafe_de_la_Pedrera-Barcelona_Catalonia.html,0.5994,3.5,Tapas
119,Cafés El Magnifico,"Carrer de l'Argenteria, 64, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d3185549-Reviews-Cafes_El_Magnifico-Barcelona_Catalonia.html,0.802,5.0,Italian
120,Caj Chai,"Calle Salomó Ben Adret 12, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d1124766-Reviews-Caj_Chai-Barcelona_Catalonia.html,0.9081,5.0,Tapas
121,Cal Pep,"Placa de les Olles 8, Barcelona, Cataluña, España",https://www.tripadvisor.es/Restaurant_Review-g187497-d697458-Reviews-Cal_Pep-Barcelona_Catalonia.html,0.93,5.0,Tapas
