Nombre,Dirección,Direccion_Web
Maitea Taberna,"Calle Casanova, 155, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1058280-Reviews-Maitea_Taberna-Barcelona_Catalonia.html
Bacoa,"Marques de L'Argentera, 1 Bis, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2490389-Reviews-Bacoa_Kiosko-Barcelona_Catalonia.html
Tlaxcal,"Comercio 27, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2321735-Reviews-Tlaxcal-Barcelona_Catalonia.html
El Viti Taberna,"Passeig Sant Joan, 62, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d8853932-Reviews-El_Viti_Taberna-Barcelona_Catalonia.html
Cafe Zurich,"Plaça Catalunya 1, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d697456-Reviews-Cafe_Zurich-Barcelona_Catalonia.html
Restaurant Gut,"Carrer Perill, 13, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2063308-Reviews-Restaurant_Gut-Barcelona_Catalonia.html
Billy Brunch,"Carrer de Bailèn 115, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d14079258-Reviews-Billy_Brunch-Barcelona_Catalonia.html
Flax & Kale,"Carrer dels Tallers, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d6996799-Reviews-Flax_Kale-Barcelona_Catalonia.html
La Alcoba Azul,"Carrer de Salomó ben Adret, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1850560-Reviews-La_Alcoba_Azul_Tapas-Barcelona_Catalonia.html
Vai Moana,"Avenida Litoral S/N, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d4379490-Reviews-Vai_Moana-Barcelona_Catalonia.html
Argentinísimo,"C/ Casanova 70, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d5859949-Reviews-Argentinisimo-Barcelona_Catalonia.html
Pizzeria Da Nanni Barcelona,"Calle Llibreteria 10, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d15078346-Reviews-Pizzeria_Da_Nanni_Barcelona-Barcelona_Catalonia.html
Mussol Casp,"Carrer Casp, 19, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d815668-Reviews-Mussol_Casp-Barcelona_Catalonia.html
Tucco Real Food Eixample,"Carrer Consell de Cent, 247, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d17651083-Reviews-Tucco_Real_Food_Eixample-Barcelona_Catalonia.html
Pepito Restaurante,"Pasaje Domingo 3, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d5994585-Reviews-Pepito_Restaurante-Barcelona_Catalonia.html
Asador de Aranda Tibidabo,"Av. del Tibidabo 31, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d969312-Reviews-Asador_de_Aranda-Barcelona_Catalonia.html
Taps,"C/ Mare de Déu del Remei, 53, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d7707574-Reviews-Taps-Barcelona_Catalonia.html
RíasKru,"Calle de Lleida, 7, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3783406-Reviews-RiasKru-Barcelona_Catalonia.html
B Burger,"Carrer D' Arago 36, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2470800-Reviews-B_Burger-Barcelona_Catalonia.html
Bar del Pla,"Carrer Montcada, num. 2, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1911643-Reviews-Bar_del_Pla-Barcelona_Catalonia.html
Restaurant Pelai,"Carrer Tallers, 62, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1441106-Reviews-Restaurant_Pelai-Barcelona_Catalonia.html
Agust Barcelona,"Carrer Parlament 54, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d8469307-Reviews-Agust_Barcelona-Barcelona_Catalonia.html
bicos,"Avenida Diagonal 287, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d13436103-Reviews-Bicos-Barcelona_Catalonia.html
The Benedict,"Carrer D'en Gignas 23, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d4604959-Reviews-The_Benedict-Barcelona_Catalonia.html
Meson Barcelona,"Rua Barcelona 5, Vigo, Provincia de Pontevedra, Galicia, España",/Restaurant_Review-g187509-d3877197-Reviews-Meson_Barcelona-Vigo_Province_of_Pontevedra_Galicia.html
DelaCrem,"Enric Granados, 15, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2696567-Reviews-DelaCrem-Barcelona_Catalonia.html
il mercante di venezia,"josep anselmo clave 11, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d797890-Reviews-Il_Mercante_Di_Venezia-Barcelona_Catalonia.html
BierCaB,"Carrer De Muntaner 55, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d4957974-Reviews-BierCaB-Barcelona_Catalonia.html
Mirablau,"Plaza Doctor Andreu S/N, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d997435-Reviews-Mirablau-Barcelona_Catalonia.html
La Peninsular,"Carrer Del Mar, 29, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d4541296-Reviews-La_Peninsular-Barcelona_Catalonia.html
1881 per Sagardi,"Plaça de Pau Vila, 3, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2008476-Reviews-1881_per_Sagardi-Barcelona_Catalonia.html
Tempura-Ya,"Carrer Muntaner, 153, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d801641-Reviews-Tempura_Ya-Barcelona_Catalonia.html
Buon Appetito,"Av. Marques de la argentera, 19, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1226740-Reviews-Buon_Appetito-Barcelona_Catalonia.html
Bacoa,"Carrer de Colomines, 2, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1821509-Reviews-Little_Bacoa-Barcelona_Catalonia.html
Swagatam Bar-Restaurant Hindu,"Carrer de Sant Agusti, 10, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3847458-Reviews-Swagatam_Bar_Restaurant_Hindu-Barcelona_Catalonia.html
Conesa Entrepans,"Carrer de La Llibreteria, 1, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1036122-Reviews-Conesa_Entrepans-Barcelona_Catalonia.html
Caramba Tapas,"Carrer de la Cera 57, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1872794-Reviews-Caramba-Barcelona_Catalonia.html
Can Xurrades Gastronomic,"Casanova, 212, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d7799852-Reviews-Can_Xurrades_Gastronomic-Barcelona_Catalonia.html
Aladdin restaurante,"Avinguda de Gaudi, 50,, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1762758-Reviews-Aladdin_Restaurante-Barcelona_Catalonia.html
Ándele París,"Carrer de París, 147, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d11914428-Reviews-Andele_Paris-Barcelona_Catalonia.html
Tucco Real Food,"Carrer Consolat de Mar 23, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d3512003-Reviews-Tucco_Real_Food_Born-Barcelona_Catalonia.html
Casa Lolea Barcelona,"Sant Pere Mes Alt, 49, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d7656645-Reviews-Casa_Lolea_Barcelona-Barcelona_Catalonia.html
Parco,"Jardines de Gracia - Al Final de la Passeig de Gracia, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d805717-Reviews-Parco-Barcelona_Catalonia.html
La Bella Napoli di Raffaele,"Carrer de Margarit, 12-14, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d808696-Reviews-Bella_Napoli_di_Raffaele-Barcelona_Catalonia.html
La Deliciosa,"Plaça del Mar, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d6609260-Reviews-La_Deliciosa-Barcelona_Catalonia.html
Gorria,"Calle Diputación, 421, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d697586-Reviews-Gorria-Barcelona_Catalonia.html
Louro,"Rambla del Caputxins 37, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d12922828-Reviews-Louro-Barcelona_Catalonia.html
NAP Antic,"Av. de Francesc Cambó, 30, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2709722-Reviews-NAP_Antic-Barcelona_Catalonia.html
Jara Sushi Degustación,"Carrer De Pàdua, 84, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d23410059-Reviews-Jara_Sushi_Degustacion-Barcelona_Catalonia.html
Cachitos Rambla,"Rambla Catalunya, 33, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d2328951-Reviews-Cachitos_Rambla-Barcelona_Catalonia.html
Caminito Grill Steak House,"Calle de l'Atlantida, 27, 29, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d25459161-Reviews-Caminito_Grill_Steak_House-Barcelona_Catalonia.html
Rosa Negra,"Via Laietana 46, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d800338-Reviews-Rosa_Negra-Barcelona_Catalonia.html
Taller de Tapas - Argenteria,"Argenteria, 51, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d8017679-Reviews-Taller_de_Tapas_Argenteria-Barcelona_Catalonia.html
murivecchi,"c/ princesa 59, Barcelona, Cataluña, España",/Restaurant_Review-g187497-d1007477-Reviews-Murivecchi-Barcelona_Catalonia.html
